provider_id,qr_rating,capacity,min_age_months,max_age_months,num_violations,num_distinct_violation_rules,num_monitoring_visits,num_enforcement_actions,vacancies_count,has_waitlist,waitlist_total,care_after_school_care,care_before_school_care,care_drop_in_care,care_rotating_care,care_sick_care,language_english,language_spanish,philosophy_cognitive_based_philosophy,philosophy_high_scope,philosophy_montessori,philosophy_parent_co_op,philosophy_reggio_emilia,philosophy_religious,philosophy_waldorf_steiner,regtype_certified_family,regtype_licensed_camp,regtype_licensed_family,regtype_licensed_group,regtype_public_school,service_4k_programming,service_ehs_ccp_programming,service_ehs_programming,service_head_start_programming,service_infant_child_care,service_night_time_child_care,service_weekend_child_care
861,5,200,1.38,155.0,17,17,10,2,0,True,35,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1213,5,91,1.38,155.0,13,11,10,5,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
258,5,125,1.38,71.0,15,14,5,0,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2513,5,130,1.38,155.0,36,30,12,8,0,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1884,5,190,1.38,156.0,11,10,7,1,0,True,4,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
933,5,120,1.38,155.0,41,30,10,8,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
304,5,160,1.38,155.0,36,28,9,3,0,False,0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
1962,5,120,1.38,155.0,35,28,8,1,0,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2257,5,100,1.38,155.0,18,17,6,0,0,False,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
4584,5,154,1.38,155.0,9,9,6,0,0,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
