provider_id,qr_rating,permit_type,facility_type,capacity,head_start,first_steps,breastfeeding_friendly,sleep_safe,geo_county
1591,3,License,Group Child Care Home,12,False,False,False,False,county_40
1537,2,License,Child Care Center,143,False,False,False,False,county_40
1382,2,License,Child Care Center,99,False,False,False,False,county_25
2311,2,License,Child Care Center,100,False,False,False,False,county_35
2125,1,License,Child Care Center,185,False,True,False,False,county_38
1366,2,License,Child Care Center,39,False,True,False,False,county_11
2013,5,License,Child Care Center,130,False,True,False,False,county_17
2020,2,License,Child Care Center,216,False,False,False,False,county_30
923,2,License,Child Care Center,88,False,True,False,False,county_38
448,2,License,Child Care Center,208,False,True,False,False,county_30
30,1,License,Child Care Center,53,False,False,False,False,county_10
1647,2,License,Child Care Center,56,False,False,False,False,county_40
1183,1,License,Child Care Center,36,False,False,False,False,county_27
2383,1,License,Child Care Center,145,False,False,False,False,county_8
1946,3,License,Child Care Center,379,False,True,False,False,county_8
1182,2,License,Child Care Center,83,False,True,False,False,county_16
1617,2,License,Child Care Center,116,False,True,False,False,county_30
1571,3,Registration,Family Child Care Home,6,False,False,False,False,county_4
688,4,Approval,Child Care Center,60,True,False,False,False,county_33
2225,5,Approval,Child Care Center,273,True,False,False,False,county_17
1093,1,License,Child Care Center,131,False,False,False,False,county_30
1011,2,License,Group Child Care Home,12,False,False,False,False,county_14
1235,2,License,Child Care Center,224,False,True,False,False,county_30
1984,2,Approval,Child Care Center,459,True,False,True,False,county_28
2065,1,License,Group Child Care Home,12,False,False,False,False,county_18
1298,2,License,Group Child Care Home,12,False,False,False,False,county_14
284,4,License,Child Care Center,285,False,False,False,False,county_40
850,2,License,Child Care Center,164,False,True,False,False,county_13
1246,3,License,Child Care Center,233,False,False,False,False,county_5
1384,3,License,Child Care Center,302,False,False,False,False,county_8
859,2,License,Group Child Care Home,12,False,False,False,False,county_23
693,3,Approval,Child Care Center,20,True,False,False,False,county_5
933,3,License,Child Care Center,159,False,True,False,False,county_40
1449,3,License,Child Care Center,176,False,False,False,False,county_30
645,1,Registration,Family Child Care Home,6,False,False,False,False,county_8
253,2,License,Child Care Center,126,False,True,False,False,county_11
66,2,License,Child Care Center,339,False,False,False,False,county_17
1760,2,License,Child Care Center,20,False,False,False,False,county_5
719,5,License,Child Care Center,42,False,False,False,False,county_20
1113,4,License,Child Care Center,139,False,True,False,False,county_9
272,4,License,Child Care Center,79,False,False,False,False,county_17
527,1,Registration,Family Child Care Home,6,False,False,False,False,county_40
767,3,Registration,Family Child Care Home,6,False,False,False,False,county_2
1139,3,License,Child Care Center,136,False,True,False,False,county_23
506,1,License,Child Care Center,37,False,False,False,False,county_32
1105,3,License,Child Care Center,60,False,False,False,False,county_30
779,2,License,Child Care Center,224,False,True,False,False,county_30
921,1,Registration,Family Child Care Home,6,False,False,False,False,county_4
731,4,Approval,Child Care Center,91,True,False,False,False,county_4
2339,2,Approval,Child Care Center,40,True,False,False,False,county_14
69,3,License,Child Care Center,48,False,False,False,False,county_23
146,2,License,Family Child Care Home,6,False,False,False,False,county_35
1865,1,Registration,Family Child Care Home,6,False,False,False,False,county_25
110,1,License,Child Care Center,74,False,False,False,False,county_30
50,5,License,Child Care Center,120,False,False,False,False,county_29
2152,2,Approval,Child Care Center,92,False,False,False,False,county_9
1741,2,License,Child Care Center,88,False,True,False,False,county_10
828,1,License,Child Care Center,159,False,False,False,False,county_28
467,2,License,Child Care Center,60,False,False,False,False,county_38
1939,3,License,Child Care Center,66,False,False,True,False,county_1
1632,1,Registration,Family Child Care Home,6,False,False,False,False,county_22
780,1,License,Child Care Center,234,False,True,False,False,county_8
1054,5,Approval,Child Care Center,38,False,False,False,False,county_23
701,1,Registration,Family Child Care Home,6,False,False,False,False,county_33
2304,1,License,Child Care Center,339,False,False,False,False,county_40
1199,2,License,Group Child Care Home,12,False,False,False,False,county_0
2000,1,License,Child Care Center,92,False,False,False,False,county_25
870,2,Approval,Child Care Center,108,True,False,False,False,county_28
63,1,License,Child Care Center,136,False,False,False,False,county_38
673,3,License,Child Care Center,168,False,False,False,True,county_29
360,3,License,Child Care Center,66,False,True,False,False,county_5
892,3,License,Child Care Center,158,False,True,False,False,county_40
331,2,License,Child Care Center,128,False,True,False,False,county_37
1990,1,License,Child Care Center,49,False,False,False,False,county_7
2140,2,Registration,Family Child Care Home,6,False,False,False,False,county_0
1925,1,License,Child Care Center,73,False,False,False,False,county_7
1735,4,License,Child Care Center,83,False,True,False,False,county_36
1379,1,License,Child Care Center,40,False,False,False,False,county_2
2079,5,Approval,Child Care Center,71,False,False,False,False,county_4
1461,5,License,Child Care Center,73,False,False,False,False,county_3
2221,5,Approval,Child Care Center,60,True,False,False,False,county_29
326,3,License,Child Care Center,80,False,False,False,False,county_2
2017,1,Registration,Family Child Care Home,6,False,False,False,False,county_11
1623,1,Registration,Family Child Care Home,6,False,False,False,False,county_0
827,1,Registration,Family Child Care Home,5,False,False,False,False,county_17
581,1,License,Child Care Center,72,False,False,False,False,county_39
598,2,License,Child Care Center,106,False,True,False,False,county_23
2169,2,License,Child Care Center,119,False,False,False,False,county_29
696,3,Approval,Child Care Center,189,False,False,False,False,county_11
824,5,Approval,Child Care Center,94,False,False,False,False,county_33
1047,2,Registration,Family Child Care Home,6,False,False,False,False,county_1
94,1,License,Child Care Center,31,False,True,False,False,county_15
1132,2,License,Child Care Center,199,False,False,False,False,county_9
68,1,License,Child Care Center,69,False,False,False,False,county_38
1498,4,License,Child Care Center,68,False,True,False,False,county_9
1156,2,License,Child Care Center,63,False,False,False,False,county_37
667,3,License,Group Child Care Home,12,False,False,False,False,county_25
53,2,License,Child Care Center,52,False,False,False,False,county_3
596,1,License,Child Care Center,272,False,True,False,False,county_23
2122,1,Registration,Family Child Care Home,6,False,False,False,False,county_11
2191,2,License,Child Care Center,196,False,False,False,False,county_1
186,1,Registration,Family Child Care Home,6,False,False,False,False,county_28
2346,1,License,Child Care Center,161,False,False,False,False,county_9
1223,2,License,Group Child Care Home,12,False,False,False,False,county_0
2210,5,Approval,Child Care Center,93,True,False,False,False,county_39
607,1,Registration,Family Child Care Home,6,False,False,False,False,county_11
350,2,License,Child Care Center,127,False,False,False,False,county_28
612,1,License,Child Care Center,24,False,False,False,False,county_38
1136,1,License,Child Care Center,30,False,False,False,False,county_5
2109,1,Registration,Family Child Care Home,6,False,False,False,False,county_16
238,1,License,Child Care Center,120,False,False,False,False,county_40
805,2,License,Child Care Center,141,False,True,False,False,county_8
1309,2,License,Child Care Center,134,False,True,False,False,county_40
1357,1,License,Child Care Center,104,False,True,False,False,county_8
912,1,Registration,Family Child Care Home,6,False,False,False,False,county_5
2285,2,License,Child Care Center,100,False,True,False,False,county_33
1624,1,Registration,Family Child Care Home,5,False,False,False,False,county_35
