provider_id,qr_rating,program_type,provider_type,provider_id_source,name_academy,name_early_head_start,name_head_start,name_learning_center,name_preschool,geo_region,name_other
153,3,Group,Family Home Child Care,license,,,,,,region_5,
108,3,Center,Child Care Center,license,,,,,Preschool,region_5,
136,3,Center,Child Care Center,license,,,,,,region_5,
207,2,Center,,synthetic,,,,,,region_5,
30,2,Center,Child Care Center,license,,,,,,region_5,
199,2,Family,Family Home Child Care,license,,,,,,region_5,
181,2,Center,,synthetic,,Early Head Start,Head Start,,,region_5,
9,2,Center,Child Care Center,license,,,,,Preschool,region_5,
186,2,Center,Child Care Center,license,,Early Head Start,Head Start,,,region_2,
4,3,Group,Group Home Child Care,license,,,,,,region_6,
31,3,Group,Group Home Child Care,license,,,,,,region_6,
151,3,Group,Group Home Child Care,license,,,,,,region_6,
127,3,Group,,synthetic,,,,,,region_6,
98,3,Center,Child Care Center,license,,,,,,region_6,
41,3,Center,Child Care Center,license,,,,,,region_6,
202,3,Center,Child Care Center,license,,,,,,region_6,
7,3,Center,Child Care Center,license,,Early Head Start,Head Start,,,region_6,other
129,2,Center,Child Care Center,license,,,,,,region_6,
54,2,Group,Group Home Child Care,license,,,,,,region_6,
180,5,Group,Group Home Child Care,license,Academy,,,,,region_4,
15,5,Center,,synthetic,,,,,,region_4,
50,5,Center,,synthetic,,,,,,region_4,
70,5,Center,,synthetic,,,,,,region_4,
37,5,Center,,synthetic,,,,,,region_4,
106,4,Center,Child Care Center,license,,,,,,region_4,
45,4,Center,,synthetic,,,,,,region_4,
68,4,Center,Child Care Center,license,,,,,,region_4,
179,4,Center,Child Care Center,license,,,,,,region_4,
135,4,Center,Child Care Center,license,,,,,Preschool,region_4,
112,4,Group,Family Home Child Care,license,,,,,,region_4,
24,3,Center,Child Care Center,license,,,,,,region_4,
88,3,Family,,synthetic,,,,,,region_4,
84,2,Center,Child Care Center,license,,,,,,region_4,
130,2,Center,,synthetic,,,,,Preschool,region_2,
178,2,Center,Child Care Center,license,,,,,,region_4,
209,2,Center,,synthetic,,,,,,region_4,
183,5,Center,Child Care Center,license,,,,,,region_1,
174,3,Group,,synthetic,,,,,Preschool,region_1,
109,3,Center,Child Care Center,license,,,,,,region_1,
87,3,Center,Child Care Center,license,,,,,,region_1,
83,3,Center,,synthetic,,,,,,region_1,
