provider_id,qr_rating,provider_service_type,license_type,total_licensed_capacity,licensed_home_capacity,licensed_infant_capacity,licensed_toddler_capacity,licensed_preschool_capacity,licensed_school_age_capacity,licensed_preschool_and_school_age_capacity,licensed_resident_camp_capacity,licensed_nyo_capacity,capacity_on_site,license_age_days,school_district_operated_program,cccap_fa_status_d1,cccap_authorization_status,head_start,accepts_cccap_on_site,accepting_new_children,openings_infant,openings_toddler,openings_preschool,openings_school_age,hours_of_operation,operating_hours_per_week,licensed_to_serve,has_documented_complaint,has_documented_stage_ii,has_documented_injury_investigation,has_documented_adverse_action,language_amharic,language_arabic,language_chinese,language_english,language_farsi,language_french,language_german,language_hebrew,language_hindi,language_italian,language_japanese,language_other,language_portuguese,language_punjabi,language_russian,language_sign_language,language_spanish,language_tagalog,language_ukrainian,language_urdu,need_cognitive_delays,need_diabetes,need_food_dietary,need_medical_special_procedures,need_none,need_physical_delays_limitations,need_respiratory_illness,need_seizure_disorders,need_social_emotional_behaviors,need_speech_communication,need_willing_to_support,geo_county
434,1,Experienced Family Child Care Home,Permanent,9.0,9.0,0.0,0.0,,0.0,,0.0,0.0,9.0,2349,False,False,False,False,False,True,0.0,0.0,6.0,3.0,other,47.5,Home,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,,Willing to Support,county_41
150,1,Child Care Center,Permanent,114.0,,,,0.0,,114.0,,,114.0,11650,False,False,False,False,False,True,0.0,0.0,19.0,0.0,Monday 07:30 AM 05:30 PM Tuesday 07:30 AM 05:30 PM Wednesday 07:30 AM 05:30 PM Thursday 07:30 AM 05:30 PM Friday 07:30 AM 05:30 PM,50.0,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,county_32
1606,1,Preschool Program,Permanent,40.0,,,,40.0,,0.0,,,40.0,5289,True,False,False,False,False,True,0.0,0.0,,0.0,other,32.92,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
3051,2,Child Care Center,Permanent,102.0,,,,0.0,,102.0,,,102.0,1049,False,True,False,False,True,True,0.0,0.0,15.0,0.0,Monday 08:30 AM 02:30 PM Tuesday 08:30 AM 02:30 PM Wednesday 08:30 AM 02:30 PM Thursday 08:30 AM 02:30 PM Friday 08:30 AM 02:30 PM,30.0,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_3
1691,4,Child Care Center,Permanent,180.0,,,,0.0,,180.0,,,180.0,10574,False,False,False,False,False,True,0.0,0.0,15.0,60.0,Monday 07:30 AM 06:00 PM Tuesday 07:30 AM 06:00 PM Wednesday 07:30 AM 06:00 PM Thursday 07:30 AM 06:00 PM Friday 07:30 AM 06:00 PM,52.5,Mixed Preschool School Age,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,,Diabetes,Food/Dietary,,,Physical Delays/Limitations,,,Social Emotional Behaviors,,,county_1
4012,4,Child Care Center,Permanent,68.0,,,,0.0,,68.0,,,68.0,9082,False,False,False,False,False,True,0.0,0.0,6.0,0.0,Monday 08:00 AM 03:00 PM Tuesday 08:00 AM 03:00 PM Wednesday 08:00 AM 03:00 PM Thursday 08:00 AM 03:00 PM Friday 08:00 AM 03:00 PM,35.0,Mixed Preschool School Age,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_3
901,1,Child Care Center,Permanent,30.0,,,,0.0,,30.0,,,30.0,4963,False,False,False,False,False,True,0.0,0.0,0.0,0.0,other,40.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,,county_32
1406,1,Child Care Center,Permanent,62.0,,,,0.0,,62.0,,,62.0,3232,False,True,True,False,True,True,0.0,0.0,1.0,6.0,Monday 8:00 AM 5:30 PM Tuesday 8:00 AM 5:30 PM Wednesday 8:00 AM 5:30 PM Thursday 8:00 AM 5:30 PM Friday 8:00 AM 5:30 PM,47.5,Preschool,False,False,True,True,,,,English,,,,,,,,,,,,,,,,,,Diabetes,Food/Dietary,,,,,,Social Emotional Behaviors,Speech/Communication,,county_3
1347,1,Preschool Program,Permanent,40.0,,,,40.0,,0.0,,,40.0,11509,True,False,False,False,False,True,0.0,0.0,,0.0,other,26.33,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
4073,4,Child Care Center,Permanent,80.0,,,,0.0,,80.0,,,80.0,11509,False,False,False,False,False,True,0.0,0.0,20.0,0.0,other,39.5,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_19
135,4,Preschool Program,Permanent,20.0,,,,20.0,,0.0,,,20.0,6151,True,True,False,False,True,True,0.0,0.0,8.0,0.0,Monday 07:50 AM 02:50 PM Tuesday 07:50 AM 02:50 PM Wednesday 07:50 AM 02:50 PM Thursday 07:50 AM 02:50 PM Friday 07:50 AM 02:50 PM,35.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,Spanish,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
1412,2,Child Care Center,Permanent,75.0,,,,0.0,,75.0,,,75.0,6895,False,True,False,False,True,True,0.0,0.0,10.0,0.0,Monday 08:00 AM 03:00 PM Tuesday 08:00 AM 03:00 PM Wednesday 08:00 AM 03:00 PM Thursday 08:00 AM 03:00 PM Friday 08:00 AM 03:00 PM,35.0,Preschool,False,False,True,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
2149,2,Child Care Center,Permanent,48.0,,,,0.0,,48.0,,,48.0,5242,False,True,True,False,True,True,0.0,0.0,0.0,0.0,Monday 08:00 AM 03:00 PM Tuesday 08:00 AM 03:00 PM Wednesday 08:00 AM 03:00 PM Thursday 08:00 AM 03:00 PM Friday 08:00 AM 03:00 PM,35.0,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,Cognitive Delays,Diabetes,Food/Dietary,Medical/Special Procedures,,Physical Delays/Limitations,Respiratory Illness,Seizure Disorders,Social Emotional Behaviors,Speech/Communication,Willing to Support,county_42
1485,2,Child Care Center,Permanent,60.0,,,,0.0,,60.0,,,60.0,6650,False,True,True,False,True,True,0.0,2.0,3.0,10.0,Monday 6:30 AM 6:00 PM Tuesday 6:30 AM 6:00 PM Wednesday 6:30 AM 6:00 PM Thursday 6:30 AM 6:00 PM Friday 6:30 AM 6:00 PM,57.5,Preschool,True,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,Medical/Special Procedures,,,,,,,Willing to Support,county_18
867,2,Preschool Program,Permanent,36.0,,,,0.0,,36.0,,,36.0,6177,False,True,False,False,True,True,0.0,0.0,11.0,0.0,other,34.17,Preschool,False,False,False,False,,,,English,,,,,,,,,,,,,,,,,,,,,,,Respiratory Illness,,,Speech/Communication,Willing to Support,county_3
