provider_id,qr_rating,has_license_number,dhhs_matched,program_type,capacity,full_time_staff,part_time_staff,num_accreditations,dhhs_license_type,dhhs_capacity,dhhs_ages_from,dhhs_ages_to,dhhs_age_from_months,dhhs_age_to_months,dhhs_days_open,dhhs_days_open_count,dhhs_hours_from,dhhs_hours_to,dhhs_hours_from_minutes,dhhs_hours_to_minutes,dhhs_hours_open_minutes,dhhs_issue_year,accreditation_name,age_infants,age_preschool,age_school_age,age_toddlers,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday,info_accepts_child_care_subsidy,info_serves_children_with_special_needs,geo_county
499,2,True,True,Preschool,24.0,1.0,2.0,0,Preschool,24,3 YRS,5 YRS,36.0,60.0,MTWTHF,5,0900,other,540.0,870.0,330.0,2010,,,Preschool,,,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_16
25,2,True,True,Child Care Center,64.0,5.0,4.0,0,Child Care Center,64,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0530,1900,330.0,1140.0,810.0,2018,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_22
1272,5,True,True,Child Care Center,75.0,8.0,8.0,0,Child Care Center,75,6 WKS,12 YRS,1.38,144.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_1
1434,2,True,True,Child Care Center,55.0,6.0,2.0,0,Child Care Center,55,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2025,,,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_30
1666,1,True,True,Family Child Care Home,10.0,,,0,Provisional Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0730,1730,450.0,1050.0,600.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_1
2722,1,True,True,Child Care Center,60.0,5.0,1.0,0,Child Care Center,60,6 WKS,13 YRS,1.38,156.0,MTWTHFS,6,0530,1800,330.0,1080.0,750.0,2023,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_33
1200,5,True,True,Child Care Center,53.0,6.0,,0,Child Care Center,50,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0530,1800,330.0,1080.0,750.0,2011,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_8
0,3,True,True,Public School,30.0,6.0,,0,Child Care Center,30,6 WKS,other,1.38,36.0,MTWTHF,5,0730,other,450.0,975.0,525.0,2020,,,Preschool,,,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_10
515,2,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1730,420.0,1050.0,630.0,2012,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_12
175,2,True,True,Family Child Care Home,12.0,,,0,Family Child Care Home II,12,6 WKS,5 YRS,1.38,60.0,MTWTHF,5,0700,1700,420.0,1020.0,600.0,2024,,Infants,,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_38
1600,2,True,True,Family Child Care Home,12.0,1.0,1.0,0,Family Child Care Home II,12,6 WKS,other,1.38,108.0,MTWTHF,5,0730,1730,450.0,1050.0,600.0,2021,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_32
143,1,True,True,Family Child Care Home,12.0,2.0,,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0000,2400,0.0,1440.0,1440.0,2021,,,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_14
2847,4,True,True,Child Care Center,74.0,12.0,3.0,0,Child Care Center,74,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0630,1800,390.0,1080.0,690.0,2005,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_33
981,1,True,True,Family Child Care Home,10.0,2.0,,0,Family Child Care Home II,10,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0700,2100,420.0,1260.0,840.0,2022,,Infants,,,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_33
1417,1,True,True,Child Care Center,64.0,15.0,4.0,0,Child Care Center,64,6 WKS,6 YRS,1.38,72.0,MTWTHF,5,0630,1800,390.0,1080.0,690.0,2018,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_33
2697,1,True,True,Family Child Care Home,9.0,1.0,,0,Family Child Care Home I,9,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1730,420.0,1050.0,630.0,2006,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_1
2177,2,True,True,Child Care Center,225.0,13.0,1.0,0,Child Care Center,225,6 WKS,13 YRS,1.38,156.0,MTWTHFS,6,0500,2300,300.0,1380.0,1080.0,2015,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_30
2334,3,False,False,Public School,,1.0,,0,,,,,,,,,,,,,,,,,Preschool,,,,,,,,,,,Serves children with special needs,
2063,1,True,True,Child Care Center,60.0,5.0,1.0,0,Child Care Center,60,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2012,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,,,county_33
1400,5,True,True,Public School,24.0,2.0,5.0,0,Child Care Center,24,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,2000,420.0,1200.0,780.0,1997,,Infants,,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_16
539,2,True,True,Child Care Center,70.0,8.0,4.0,0,Child Care Center,99,6 WKS,8 YRS,1.38,96.0,MTWTHF,5,0700,1800,420.0,1080.0,660.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_2
2943,2,True,True,Family Child Care Home,12.0,1.0,,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1700,420.0,1020.0,600.0,2023,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_21
368,1,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2018,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_35
2253,1,True,True,Family Child Care Home,10.0,1.0,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0730,1700,450.0,1020.0,570.0,2025,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_1
775,2,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTF,5,0600,1800,360.0,1080.0,720.0,2014,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_32
1092,2,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0730,1730,450.0,1050.0,600.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_43
669,2,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTF,5,0530,1800,330.0,1080.0,750.0,2003,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_32
542,1,True,True,Child Care Center,90.0,2.0,3.0,0,Provisional Child Care Center,90,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0600,1900,360.0,1140.0,780.0,2024,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_12
1705,2,True,True,Family Child Care Home,10.0,1.0,1.0,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,other,,1140.0,,,2013,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_30
3257,2,True,True,Child Care Center,29.0,3.0,2.0,0,Child Care Center,29,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0600,1800,360.0,1080.0,720.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_33
33,1,True,True,Family Child Care Home,12.0,1.0,1.0,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0500,1700,300.0,1020.0,720.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_3
1061,2,True,True,Family Child Care Home,10.0,1.0,1.0,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2012,,Infants,,,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_33
2665,1,True,True,Family Child Care Home,12.0,,,0,Family Child Care Home II,12,other,13 YRS,1.84,156.0,MTWTHF,5,0000,2400,0.0,1440.0,1440.0,2024,,,,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_38
2988,2,True,True,Family Child Care Home,10.0,3.0,,0,Family Child Care Home II,10,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2018,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,,,county_33
2442,1,True,True,Family Child Care Home,10.0,1.0,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,other,420.0,1005.0,585.0,2025,,Infants,,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_30
588,5,True,True,Family Child Care Home,12.0,1.0,,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0530,1930,330.0,1170.0,840.0,2016,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_22
241,1,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTFSS,7,0000,2400,0.0,1440.0,1440.0,1998,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,,,county_15
2141,1,True,True,Child Care Center,50.0,6.0,,0,Provisional Child Care Center,50,6 WKS,5 YRS,1.38,60.0,MTWTHF,5,0700,1730,420.0,1050.0,630.0,2024,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,Accepts child care subsidy,,county_25
2840,1,True,True,Family Child Care Home,10.0,,,0,Provisional Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1800,420.0,1080.0,660.0,2025,,Infants,Preschool,,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_1
335,2,True,True,Family Child Care Home,12.0,1.0,,0,Family Child Care Home II,12,other,other,6.0,156.0,MTWTHF,5,0645,other,405.0,1125.0,720.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_16
1463,5,True,True,Family Child Care Home,12.0,1.0,1.0,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTFSS,7,0000,2400,0.0,1440.0,1440.0,2003,,Infants,Preschool,School Age,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_1
2757,2,True,True,Family Child Care Home,12.0,,2.0,0,Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0600,2100,360.0,1260.0,900.0,2017,,Infants,Preschool,School Age,,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Accepts child care subsidy,Serves children with special needs,county_16
1323,1,True,True,Family Child Care Home,12.0,,,0,Provisional Family Child Care Home II,12,6 WKS,13 YRS,1.38,156.0,MTWTHF,5,0700,1730,420.0,1050.0,630.0,2025,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,,county_27
1086,1,True,True,Family Child Care Home,10.0,,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTHFSSU,7,0000,2400,0.0,1440.0,1440.0,2010,,Infants,Preschool,,Toddlers,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,,,county_16
1934,1,True,True,Family Child Care Home,10.0,1.0,,0,Family Child Care Home I,10,6 WKS,13 YRS,1.38,156.0,MTWTF,5,0500,1800,300.0,1080.0,780.0,2000,,Infants,Preschool,School Age,Toddlers,Friday,Monday,,,Thursday,Tuesday,Wednesday,,Serves children with special needs,county_39
