provider_id,qr_rating,program_type,age_6wk_17mo,age_18_23mo,age_0_23mo,age_2yr,age_3yr,age_4yr,age_5yr_preschool,age_5_15yr,licensed_capacity,enrollment_availability,accreditation_american_montessori_society_ams,accreditation_association_montessori_international_usa_ami_usa,accreditation_association_of_independent_maryland_schools_aims,accreditation_cognia_early_learning_accreditation,accreditation_maryland_accreditation,accreditation_middle_states_association_of_colleges_and_schools_commission_on_elementary_and_secondary_schools_msa_cess,accreditation_national_association_for_family_child_care_nafcc,accreditation_national_association_for_the_education_of_young_children_naeyc,accreditation_national_early_childhood_program_accreditation_necpa,achievement_accredited_program,achievement_asthma_and_allergy_friendly,achievement_cultural_and_linguistic_competency,achievement_eco_friendly_program,achievement_family_engagement,achievement_health_and_wellness,achievement_judy_center,achievement_military_child_care_in_your_neighborhood,achievement_quality_business_practices,accreditation_other
3957,5,LOC,False,False,False,True,True,True,True,True,102,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
5018,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
261,3,School-Age Only,False,False,False,False,False,False,False,True,50,,,,,,,,,,,,,,,,Health and Wellness,,,,
3267,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
6151,1,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,,,,,
6233,3,School-Age Only,False,False,False,False,False,True,True,True,50,,,,,,,,,,,,,,,,Health and Wellness,,,,
6806,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
901,1,Child Care Center,True,True,False,True,True,True,True,True,101,,,,,,,,,,,,,,,,,,,,
2772,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6577,4,Child Care Center,True,True,False,True,True,True,True,True,156,,,,,,,,,,,,,,,,,,,,
5254,3,Child Care Center,False,False,False,True,True,True,True,True,28,,,,,,,,,,,,,,,,,,,,
255,3,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
1482,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3794,1,School-Age Only,False,False,False,False,False,False,False,True,45,,,,,,,,,,,,,,,,,,,,
6864,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
2250,4,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
3778,4,Family Child Care,False,False,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
687,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
3168,3,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
1006,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
3146,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
2366,1,Family Child Care,False,False,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
964,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
594,1,Family Child Care,False,False,True,True,True,True,True,True,7,,,,,,,,,,,,,,,,,,,,
4856,1,Child Care Center,False,True,False,True,True,True,True,True,82,,,,,,,,,,,,,,,,,,,,
3438,1,Child Care Center,False,False,False,True,True,True,True,True,60,,,,,,,,,,,,,,,,,,,,
2473,1,Child Care Center,False,False,False,True,True,True,True,True,36,,,,,,,,,,,,,,,,,,,,
5089,3,Child Care Center,False,False,False,True,True,True,True,True,83,,,,,,,,,,,,,,,,,,,Quality Business Practices,
3036,5,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,National Association for Family Child Care (NAFCC),,,Accredited Program,,,,,,,,,
625,1,Family Child Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2991,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
5867,3,Family Child Care,False,False,False,True,True,True,True,False,6,,,,,,,,,,,,,,,,,,,,
3889,3,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
5618,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6291,5,Child Care Center,True,True,False,True,True,True,True,False,85,,,,,,,,,National Association for the Education of Young Children (NAEYC),,Accredited Program,,,,,,,,,
4950,2,Child Care Center,True,True,False,True,True,True,True,True,155,,,,,,,,,,,,,,,,,,,,
4115,5,Child Care Center,True,True,False,True,True,True,True,True,161,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4921,1,Child Care Center,True,True,False,True,True,True,True,True,146,,,,,,,,,National Association for the Education of Young Children (NAEYC),,Accredited Program,,,,,,,,,
